time_ms,T1_CS,T1_VS,T2_CS,T2_VS,H1_CS,H1_VS,label
2122,2922,3709,2892,3665,2986,3568,normal
2222,2915,3683,2903,3642,2993,3558,normal
2322,2924,3676,2898,3655,2976,3563,normal
2422,2912,3664,2886,3647,2972,3543,normal
2522,2931,3647,2924,3607,2979,3536,normal
2622,2934,3633,2903,3605,2961,3527,normal
2722,2925,3615,2901,3607,2943,3511,normal
2822,2915,3601,2909,3599,2957,3497,normal
2922,2903,3574,2922,3583,2962,3504,normal
3022,2942,3566,2925,3551,2996,3472,normal
3122,2893,3543,2933,3538,2972,3436,normal
3222,2903,3527,2875,3495,2938,3409,normal
3322,2919,3513,2918,3490,2993,3407,normal
3422,2918,3453,2928,3443,2955,3367,normal
3522,2949,3457,2934,3433,2960,3366,normal
3622,2946,3392,2906,3403,2972,3347,normal
3722,2903,3381,2875,3405,2967,3318,normal
3822,2927,3361,2911,3365,2992,3294,normal
3922,2893,3344,2916,3341,2977,3280,normal
4022,2928,3312,2929,3327,2977,3254,normal
4122,2921,3285,2898,3282,2992,3229,normal
4222,2953,3249,2918,3270,2978,3226,normal
4322,2931,3247,2911,3243,2973,3186,normal
4422,2903,3206,2919,3221,2967,3184,normal
4522,2937,3199,2896,3204,2988,3161,normal
4622,2947,3164,2930,3185,2981,3131,normal
4722,2937,3152,2938,3158,2974,3120,normal
4822,2949,3119,2928,3140,2985,3097,normal
4922,2938,3088,2911,3113,2974,3085,normal
5022,2932,3067,2953,3090,2999,3044,normal
5122,2928,3025,2907,3057,3001,3029,normal
5222,2928,3007,2958,3040,2992,2994,normal
5322,2938,2983,2928,3027,2993,2992,normal
5422,2950,2962,2937,2994,3002,2983,normal
5522,2938,2961,2896,2981,2991,2947,normal
5622,2930,2917,2939,2952,2993,2929,normal
5722,2937,2901,2921,2928,3005,2912,normal
5822,2942,2882,2941,2912,3014,2895,normal
5922,2939,2847,2937,2883,3010,2864,normal
6022,2928,2835,2949,2869,3008,2843,normal
6122,2944,2787,2918,2864,3033,2835,normal
6222,2958,2791,2943,2825,3003,2815,normal
6322,2960,2779,2947,2817,2992,2793,normal
